## scaCatch.dat
## Year  TimeStep    Catch     CPUE     AC
# landCatchMatrix (tonnes)
    1978       1  20750.382      1       1
    1979       2  27332.908      1       1
    1980       3  19105.512      1       1
    1981       4   8012.165      1       1
    1982       5   7449.518      1       1
    1983       6  10867.687      1       1
    1984       7   7010.252      1       1
    1985       8  11192.712      1       1
    1986       9  19887.197      1       1
    1987      10  23864.702      1       1
    1988      11  25586.307      1       1
    1989      12  20798.602      1       1
    1990      13  16069.765      1       1
    1991      14  17474.958      1       1
    1992      15  17070.990      1       1
    1993      16  21120.419      1       1
    1994      17  23785.388      1       1
    1995      18  26328.872      1       1
    1996      19  22224.290      1       1
    1997      20  17409.086      1       1
    1998      21  15219.912      1       1
    1999      22  14870.858      1       1
    2000      23  17606.224      1       1
    2001      24  14085.164      1       1
    2002      25   9936.023      1       1
    2003      26   8982.876      1       1
    2004      27   8216.253      1       1
    2005      28   4640.461      1       1
    2006      29   2443.905      1       1
    2007      30   4126.463      1       1
    2008      31   2990.871      1       1
    2009      32   1844.197      1       1
    2010      33   1536.476      1       1
    2011      34   1561.401      1       1
    2012      35    773.698      1       1
    2013      36   1764.702      1       1
    2014      37   1250.335      1       1
    2015      38   1189.813      1       1
    2016      39    965.710      1       1
    2017      40   1188.608      1       1
    2018      41    798.205      1       1
    2019      42   1047		     1	     1
    2020      43    603          1       1
    2021      44    397	         1	     1
	2022      45	190			 1		 1	

# eof2
2222
